category,keyword,headline,body,press,url,crawled_at
복지지원사업,장애인 복지 서울,번아웃 부모부터 살핀다…발달장애인 위기가구 발굴 나선 정부,"(보건복지부 제공) 보건복지부는 14일 서울에서 한국지적발달장애인복지협회와 한국장애인부모회, 한국자폐인사랑협회, 전국장애인부모연대 등 장애인 부모단체와 발달장애인 위기가구 지원을 위한 ‘손잡아드림’ 업무협약을 체결했다고 밝혔다. 이번 협약에 따라 부모단체는 전국 시도 지회와 시군구...",이데일리,https://n.news.naver.com/mnews/article/018/0006329972?sid=102,2026-07-27 16:51:38
복지지원사업,장애인 복지 서울,"""무더위 이겨낼 작은 힘 되길""…뉴시스·시큐아이, 성북장애인복지관서...","양사 임직원 30여명은 15일 서울 성북구 성북장애인복지관에서 삼계탕 나눔 봉사활동을 진행했다. 이날 봉사자들은 복지관을 이용하는 장애인과 성북구 거주 어르신 등 140여명에게 삼계탕을 배식했다. 식사 자리를 안내하고 손 사용이 불편해 닭고기 살을 직접 발라 먹기 어려운 , 어르신 곁에서 식사를...",뉴시스,https://n.news.naver.com/mnews/article/003/0014068782?sid=101,2026-07-27 16:51:56
복지지원사업,장애인 복지 서울,"경찰, `장애인 폭행` 색동원 종사자 7명 무더기 입건",(사진 = 연합뉴스 제공) 10일 경찰에 따르면 서울경찰청 여성청소년범죄수사계는 장애인복지법 위반 혐의로 색동원 종사자 7명을 입건해 수사하고 있다. 이들은 색동원에 입소한 중증 장애인들을 폭행한 혐의를 받는다. 경찰은 지난 2월부터 색동원 종사자 12명을 상대로 입건 전 조사를 벌여왔다. 경찰은...,이데일리,https://n.news.naver.com/mnews/article/018/0006326976?sid=102,2026-07-27 16:51:56
복지지원사업,장애인 복지 서울,"""발달장애인 자립 돕는다""…영등포구, 평생교육센터 학습자 모집","서울 영등포구는 '영등포구발달장애인평생교육센터'에서 성인 발달장애인을 대상으로 학습자를 상시 모집한다고 16일 밝혔다. 2020년 문을 연 영등포구발달장애인평생교육센터는 특수교사와 직업재활사, 사회복지사, 평생교육사 등 전문 인력이 참여해 평생교육과 돌봄 서비스를 제공하고...",뉴스1,https://n.news.naver.com/mnews/article/421/0009062599?sid=102,2026-07-27 16:51:57
복지지원사업,장애인 복지 서울,"복지부, 복지 선제지원·기초연금 개편 역점",위기에 곧바로 대응하기 위해 읍면동 현장에서 소액 긴급생계비를 우선 지원할 수 있도록 긴급복지제도를 내년 중 개편한다. ◆ 중증장애인 생계급여... 현재 서울에만 2곳이 있는 중증 모자의료센터를 5극 중심으로 전국 6개소까지 단계적으로 확충한다. 의료·간병 필요도가 높은 환자 대상으로 내년 중...,더팩트,https://n.news.naver.com/mnews/article/629/0000516842?sid=102,2026-07-27 16:52:08
복지지원사업,장애인 복지 서울,"복지부, 지역필수의료 특별회계 신설…연 3.6조 투입해 의료개혁 속도","권역응급의료센터를 최대 60여곳으로 확대하고 서울에만 있는 중증 모자의료센터를 전국 6곳으로 늘리는 한편, 바이오헬스 산업 육성과 통합돌봄 체계... 노인과 장애인 등이 거주지에서 필요한 의료와 돌봄 서비스를 받을 수 있도록 지역사회 중심 돌봄체계 전환도 추진할 예정이다. 보건부 관계자는...",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005549259?sid=103,2026-07-27 16:52:08
복지지원사업,장애인 복지 서울,"서울시, 복지부 장애인 건강관리사업평가 '우수'…광역단체 유일",장관 표창 전체 45개 중 서울서만 11개 차지 서울시는 지난 26일 보건복지부 주관으로 열린 '2026년 장애인 건강보건 통합성과대회'에서 '장애인건강보건관리사업 우수 지자체'로 선정됐다고 29일 밝혔다. 통합성과대회는 전국 보건소와 관련 기관들이 지역사회 건강보건사업 성과를 공유하고 우수...,연합뉴스,https://n.news.naver.com/mnews/article/001/0016164525?sid=102,2026-07-27 16:52:18
복지지원사업,장애인 복지 서울,"강훈식 ""장애인 특공, 범죄 악용 매우 심각…엄정 조치·제도 점검 필요...","강 실장은 최근 청각장애인들의 명의를 빌려 서울 강남 등에서 총 30채, 분양가 기준 208억원 상당의 아파트를 불법으로 분양받은 브로커 일당이 적발된... 이에 성평등가족부와 보건복지부, 경찰청 등 관계 부처는 전자담배 등 청소년 유해약물의 판매 실태를 신속히 점검하고 필요한 행정 조치를 취할 것을...",뉴시스,https://n.news.naver.com/mnews/article/003/0014049196?sid=100,2026-07-27 16:52:19
복지지원사업,장애인 지원 서울,"서울시, 폭염 취약계층 보호 시설 확대·물품 지원","먼저 노숙인과 쪽방 주민을 대상으로 무더위 대피 공간과 밤더위 대피소를 제공하고, 구호 물품과 식수 등을 지원합니다. 독거 어르신과 장애인, 만성질환자 등은 수시로 안부를 확인하고, 생계가 어려운 가구에는 서울형 긴급 복지와 냉방비 부담 완화를 위한 에너지 바우처 등을 제공합니다. 시는 또...",KBS,https://n.news.naver.com/mnews/article/056/0012225632?sid=102,2026-07-27 16:52:21
복지지원사업,장애인 지원 서울,"박재만 사장 ""포천 장애인콜택시 환승 없이 서울·인천 간다""",경기 포천시 장애인콜택시 이용자들이 이제 서울과 인천까지 환승 없이 한 번에 이동할 수 있게 됐다. 경기교통공사가 교통약자의 이동 편의를 높이기... 한편 경기교통공사는 현재 경기도 광역이동지원센터를 운영하며 31개 시·군 통합배차 체계를 기반으로 특별교통수단 광역이동 서비스를 하고 있다....,아시아경제,https://n.news.naver.com/mnews/article/277/0005794025?sid=102,2026-07-27 16:52:25
복지지원사업,장애인 지원 서울,서울 용산구 “폭염 취약가구 에어컨 청소·냉매 충전 지원”,"서울 용산구가 폭염에 취약한 저소득 가구가 쾌적하게 여름을 지낼 수 있도록 에어컨 청소 등을 지원했다고 23일 밝혔다. 구는 지역의 저소득 557가구를... 지원 대상은 65세 이상 어르신과 장애인, 보훈 대상자가 사는 저소득가구 중 신청 가구다. 구는 벽걸이형과 스탠드형, 천장형 등 에어컨 종류에 따라 분리...",서울신문,https://n.news.naver.com/mnews/article/081/0003664083?sid=102,2026-07-27 16:52:25
